Date;Country;Cases;Deaths;Population;retail_and_recreation_percent_change_from_baseline;grocery_and_pharmacy_percent_change_from_baseline;parks_percent_change_from_baseline;transit_stations_percent_change_from_baseline;workplaces_percent_change_from_baseline;residential_percent_change_from_baseline;walking;driving;;
05/03/2021;Ireland;460;39;4964440;-47.0;4.0;4.0;-61.0;-43.0;19.0;50.53;64.03;;
05/03/2021;Italy;22845;339;59641488;-35.0;3.0;-9.0;-39.0;-25.0;11.0;63.4;77.25;;
05/03/2021;Latvia;646;12;1907675;-31.0;-5.0;-8.0;-43.0;-34.0;12.0;68.03;85.9;;
05/03/2021;Lithuania;533;13;2794090;-48.0;18.0;7.0;-37.0;-29.0;11.0;108.87;84.69;;
05/03/2021;Luxembourg;208;4;626108;-40.0;3.0;-14.0;-29.0;-27.0;13.0;98.15;84.42;;
05/03/2021;Netherlands;4110;33;17407585;-40.0;2.0;34.0;-47.0;-27.0;11.0;91.53;85.35;;
05/03/2021;Norway;690;0;5367580;-23.0;-2.0;20.0;-44.0;-30.0;10.0;100.07;101.5;;
05/03/2021;Poland;15253;289;37958138;-26.0;3.0;-14.0;-33.0;-19.0;7.0;95.33;102.73;;
05/03/2021;Portugal;830;28;10295909;-55.0;1.0;-37.0;-56.0;-42.0;21.0;38.67;59.7;;
05/03/2021;Romania;4271;98;19328838;-21.0;9.0;-21.0;-21.0;-8.0;0.0;118.84;94.26;;
05/03/2021;Slovakia;4821;71;5457873;-55.0;-2.0;-26.0;-54.0;-35.0;17.0;78.95;67.32;;
05/03/2021;Slovenia;1015;13;2095861;-41.0;-7.0;-14.0;-33.0;-21.0;10.0;104.38;95.03;;
05/03/2021;Spain;6654;637;47332614;-35.0;4.0;-9.0;-25.0;-19.0;8.0;79.1;89.39;;
05/03/2021;Sweden;4069;14;10327589;-22.0;-6.0;26.0;-41.0;-33.0;11.0;100.93;115.13;;
06/03/2021;Austria;2319;24;8901064;-41.0;-7.0;14.0;-35.0;-19.0;6.0;81.91;86.97;;
06/03/2021;Belgium;1531;25;11522440;-34.0;6.0;41.0;-25.0;-7.0;9.0;132.71;101.23;;
06/03/2021;Bulgaria;3004;65;6951482;-32.0;-2.0;-26.0;-16.0;-19.0;1.0;100.33;89.58;;
06/03/2021;Croatia;590;6;4058165;-24.0;11.0;26.0;-30.0;-14.0;1.0;111.75;96.79;;
06/03/2021;Czechia;13162;233;10693939;-63.0;-4.0;-2.0;-40.0;-13.0;10.0;44.61;49.34;;
06/03/2021;Denmark;614;3;5822763;-28.0;-3.0;42.0;-42.0;-6.0;6.0;114.48;102.48;;
